y,x,street_count,junction,highway,ref,geometry
13.3361636,74.7496003,3,,,,POINT (74.7496003 13.3361636)
13.3420232,74.747068,3,,,,POINT (74.747068 13.3420232)
13.3415102,74.7474864,3,,,,POINT (74.7474864 13.3415102)
13.3403171,74.7482564,3,,,,POINT (74.7482564 13.3403171)
13.3409897,74.7477964,4,,,,POINT (74.7477964 13.3409897)
13.3383401,74.7521378,3,yes,,,POINT (74.7521378 13.3383401)
13.3391262,74.7500004,3,,,,POINT (74.7500004 13.3391262)
13.3404527,74.7495064,3,,,,POINT (74.7495064 13.3404527)
13.3392204,74.7498601,3,,,,POINT (74.7498601 13.3392204)
13.3352311,74.7514236,3,,,,POINT (74.7514236 13.3352311)
13.3354941,74.7514594,3,,,,POINT (74.7514594 13.3354941)
13.3353636,74.7510999,3,,,,POINT (74.7510999 13.3353636)
13.3355051,74.7505385,3,,,,POINT (74.7505385 13.3355051)
13.3345259,74.7504356,3,,,,POINT (74.7504356 13.3345259)
13.3342003,74.7508388,1,,,,POINT (74.7508388 13.3342003)
13.3358573,74.7523199,3,,,,POINT (74.7523199 13.3358573)
13.336098,74.7522642,3,,,,POINT (74.7522642 13.336098)
13.3404308,74.7517727,1,,,,POINT (74.7517727 13.3404308)
13.3482384,74.714022,3,,,,POINT (74.714022 13.3482384)
13.343167,74.7467778,3,,,,POINT (74.7467778 13.343167)
13.3439591,74.7466075,4,,,,POINT (74.7466075 13.3439591)
13.3439058,74.7474958,4,,,,POINT (74.7474958 13.3439058)
13.345481,74.7517762,3,,,,POINT (74.7517762 13.345481)
13.3436002,74.744659,3,,,,POINT (74.744659 13.3436002)
13.3712702,74.7606406,3,,,,POINT (74.7606406 13.3712702)
13.3688224,74.7487512,3,,,,POINT (74.7487512 13.3688224)
13.3699296,74.7590751,3,,,,POINT (74.7590751 13.3699296)
13.3702382,74.7638993,3,,,,POINT (74.7638993 13.3702382)
13.3591922,74.7497067,3,,,,POINT (74.7497067 13.3591922)
13.3678001,74.7533629,3,,,,POINT (74.7533629 13.3678001)
13.3665236,74.7719313,3,,,,POINT (74.7719313 13.3665236)
13.3676094,74.7688612,3,,,,POINT (74.7688612 13.3676094)
13.3662287,74.7709913,3,,,,POINT (74.7709913 13.3662287)
13.3710089,74.7470306,3,,,,POINT (74.7470306 13.3710089)
13.3462621,74.76186,3,,,,POINT (74.76186 13.3462621)
13.3462075,74.76101,3,,,,POINT (74.76101 13.3462075)
13.3458164,74.7649562,3,,,,POINT (74.7649562 13.3458164)
13.3481373,74.7776823,3,,,,POINT (74.7776823 13.3481373)
13.3459818,74.772522,3,,,,POINT (74.772522 13.3459818)
13.3458366,74.7722627,3,,,,POINT (74.7722627 13.3458366)
13.3480119,74.7849122,3,,,,POINT (74.7849122 13.3480119)
13.3550972,74.8060674,3,,,,POINT (74.8060674 13.3550972)
13.3545735,74.8150815,3,,,,POINT (74.8150815 13.3545735)
13.3547893,74.8041783,3,,,,POINT (74.8041783 13.3547893)
13.3544219,74.8141059,3,,,,POINT (74.8141059 13.3544219)
13.3549354,74.8080888,4,,,,POINT (74.8080888 13.3549354)
13.3549902,74.7956161,3,,,,POINT (74.7956161 13.3549902)
13.3553219,74.7986217,3,,,,POINT (74.7986217 13.3553219)
13.350809,74.8289762,3,,,,POINT (74.8289762 13.350809)
13.3468489,74.8533131,3,,,,POINT (74.8533131 13.3468489)
13.3517244,74.8386526,3,,,,POINT (74.8386526 13.3517244)
